Country Name,Country Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Finland,FIN,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017
France,FRA,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67749632
French Polynesia,PYF,286584,288032,289873,291787,293541,295450,297606,299717,301920,304032
Gabon,GAB,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179
"Gambia, The",GMB,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916
Georgia,GEO,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610
Germany,DEU,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078
Ghana,GHA,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031
Gibraltar,GIB,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669
Greece,GRC,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10641221
Greenland,GRL,56810,56483,56295,56114,56186,56171,56023,56225,56367,56653
Grenada,GRD,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610
Guam,GUM,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534
Guatemala,GTM,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746
Guinea,GIN,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906
Guinea-Bissau,GNB,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721
Guyana,GUY,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567
Haiti,HTI,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569
Honduras,HND,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345
"Hong Kong SAR, China",HKG,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100
Hungary,HUN,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891
Iceland,ISL,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520
India,IND,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842
Indonesia,IDN,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191
"Iran, Islamic Rep.",IRN,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432
Iraq,IRQ,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592
Ireland,IRL,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033165
Isle of Man,IMN,84338,84144,83896,83593,83450,83580,83775,83933,84046,84263
Israel,ISR,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9364000
Italy,ITA,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59109668
Jamaica,JAM,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695
Japan,JPN,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593
Jordan,JOR,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278
Kazakhstan,KAZ,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988
Kenya,KEN,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614
Kiribati,KIR,111618,113311,114985,116707,118513,120362,122261,124241,126463,128874
"Korea, Dem. People's Rep.",PRK,24887770,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909
"Korea, Rep.",KOR,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876
Kosovo,XKX,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038
Kuwait,KWT,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114
Kyrgyz Republic,KGZ,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6691800
Lao PDR,LAO,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057
Latvia,LVA,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490
Lebanon,LBN,5178337,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631
Lesotho,LSO,2054718,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454
Liberia,LBR,4331740,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416
Libya,LBY,5869870,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277
Liechtenstein,LIE,36505,36806,37096,37355,37609,37889,38181,38482,38756,39039
Lithuania,LTU,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839
Luxembourg,LUX,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064
"Macao SAR, China",MAC,582766,593374,604167,615239,626688,638609,650991,663653,676283,686607
North Macedonia,MKD,2061044,2064032,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092
Madagascar,MDG,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653
Malawi,MWI,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742
Malaysia,MYS,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874
Maldives,MDV,387539,400728,416738,435582,454252,472442,489758,504508,514438,521457
Mali,MLI,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983
Malta,MLT,420028,425967,434558,445053,455356,467999,484630,504062,515332,518536
Marshall Islands,MHL,52203,51352,50419,49410,48329,47187,45989,44728,43413,42050
Mauritania,MRT,3636113,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974
Mauritius,MUS,1255882,1258653,1260934,1262605,1263473,1264613,1265303,1265711,1265740,1266060
Mexico,MEX,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138
"Micronesia, Fed. Sts.",FSM,108232,108609,109024,109462,109925,110430,110929,111379,112106,113131
Moldova,MDA,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2615199
Monaco,MCO,34700,35425,36110,36760,37071,37044,37029,37034,36922,36686
Mongolia,MNG,2792349,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782
Montenegro,MNE,620601,621207,621810,622159,622303,622373,622227,622028,621306,619211
Morocco,MAR,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584
Mozambique,MOZ,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072
Myanmar,MMR,50218185,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084
Namibia,NAM,2167470,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151
Nauru,NRU,10444,10694,10940,11185,11437,11682,11924,12132,12315,12511
Nepal,NPL,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989
Netherlands,NLD,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044
New Caledonia,NCL,259000,263650,268050,269460,270220,270810,271170,271230,271130,271030
New Zealand,NZL,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5122600
Nicaragua,NIC,6030607,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540
Niger,NER,17954407,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722
Nigeria,NGA,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323
Northern Mariana Islands,MNP,52359,52141,51856,51514,51133,50729,50304,49858,49587,49481
Norway,NOR,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320
Oman,OMN,3535579,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471
Pakistan,PAK,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117
Palau,PLW,17946,17805,17796,17794,17816,17837,17864,17916,17972,18024
Panama,PAN,3754862,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267
Papua New Guinea,PNG,8026545,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437
Paraguay,PRY,5923322,6005652,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799
Peru,PER,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471
Philippines,PHL,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328
Poland,POL,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124
Portugal,PRT,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10325147
